Series Name,Series Code,Country Name,Country Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Vietnam,VNM,73.03,73.265,73.487,73.695,73.893,74.082,74.263,74.438,74.609,74.777,74.946,75.117,75.294,75.476,75.663,75.855,76.052,76.253,76.454
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Virgin Islands (U.S.),VIR,76.46185366,76.6195122,77.67317073,77.62195122,77.57317073,77.87317073,77.42195122,78.47560976,76.86097561,77.26341463,77.61463415,77.96585366,78.41707317,78.66829268,78.86829268,78.96829268,79.16829268,79.26829268,79.4195122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,West Bank and Gaza,PSE,70.592,70.778,70.95,71.115,71.277,71.44,71.605,71.773,71.942,72.11,72.277,72.444,72.613,72.783,72.954,73.126,73.299,73.473,73.646
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Yemen, Rep.",YEM,60.155,60.382,60.631,60.903,61.2,61.52,61.857,62.205,62.552,62.888,63.208,63.508,63.786,64.046,64.291,64.523,64.743,64.953,65.157
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Zambia,ZMB,44.104,44.702,45.448,46.33,47.33,48.432,49.63,50.929,52.313,53.749,55.194,56.588,57.872,59.011,59.982,60.775,61.397,61.874,62.255
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Zimbabwe,ZWE,45.647,44.841,44.326,44.109,44.188,44.571,45.282,46.344,47.719,49.337,51.122,52.975,54.8,56.516,58.053,59.36,60.398,61.163,61.712
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Arab World,ARB,67.42499113,67.69493973,67.94873216,68.19448345,68.43963559,68.68794455,68.93805806,69.18636508,69.4245522,69.64697028,69.8514339,70.04105435,70.22389424,70.40801569,70.59829816,70.79395747,70.99454147,71.19845637,71.40375035
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Caribbean small states,CSS,70.09096878,70.20376854,70.34122065,70.5733907,70.68737639,70.89174012,71.11305695,71.34540591,71.58238536,71.81658119,72.04214711,72.25239203,72.44463184,72.61917985,72.77917989,72.92618028,73.0627324,73.1924085,73.31837231
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central Europe and the Baltics,CEB,72.18456107,72.71972472,73.09614819,73.24241549,73.38225278,73.737153,73.83830018,74.09260273,74.25064872,74.57595268,74.93036393,75.29396578,75.88847488,75.9934886,76.35516299,76.67562361,76.59107024,76.98893983,77.03402473
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Early-demographic dividend,EAR,64.16015981,64.48607304,64.80627362,65.12478813,65.44812293,65.78043288,66.12286084,66.47951379,66.84532278,67.21738361,67.59017772,67.95573244,68.30810435,68.64277594,68.95765752,69.24863965,69.51694097,69.76627113,70.00102514
